"X","Y","Z","Code","Means","Std.Dev."
3.31355196105443,39.7468790859762,27,"S007",41.7835365853659,42.599971712562
3.23792764445142,39.5312184841768,155,"S015",67.9016260162602,85.1261225399987
2.90396298241992,39.57341797442,183,"S031",49.1662601626016,68.2567967702367
2.93640511906059,39.4554686413261,107,"S034",66.5164634146341,80.040252814211
3.3302593283411,39.6259792314583,120,"S036",57.8288617886179,67.0667325838658
3.16146897222576,39.499686973394,89,"S038",50.1308943089431,56.5756583067683
2.55084426960057,39.5306089295752,38,"S039",57.5993902439024,60.3205937654297
3.04342424541362,39.6545141228428,160,"S042",55.8394308943089,70.3023516081123
3.2417616449022,39.6750065804338,125,"S047",64.7335365853659,89.2294241589395
3.01924265374358,39.6557826972428,129,"S051",66.1896341463415,78.5048778062681
3.09532492659828,39.5994781302074,160,"S055",52.0325203252033,66.0248530580235
2.94274447081239,39.8340664171571,865,"S058",63.0680894308943,65.5146983555544
2.99123314407593,39.7512841575374,64,"S069",46.3871951219512,55.7682685279125
2.53426431976188,39.4986506480104,20,"S075",59.3077235772358,75.9974912579076
3.15684071843106,39.6573591812576,79,"S081",53.0130081300813,56.4316459575164
3.00152749073671,39.3627649465036,6,"S088",59.5306910569106,79.495380318518
2.46166980648759,39.5290747316481,1,"S095",54.9654471544715,83.2036337502741
2.5881748990405,39.6703137419215,265,"S097",50.9268292682927,54.7330166137856
3.2852702671329,39.6022077861407,100,"S098",45.460162601626,48.737782931786
3.13287992709666,39.5185612192661,70,"S100",71.8063008130081,69.4360939388272
